yr	CERES	CESM2	CanESM5	EC-Earth3	ECHAM	GFDL	HadGEM3	IPSL	multimodel
2000.625	-0.018598084	-0.069211727	0.068708286	0.654166658	0.460961488	0.176278382	0.006410976	0.399831237	0.242449328
2000.708333	0.103487626	-0.032908326	-0.010538091	0.518454268	0.455944095	0.090699897	0.133724585	0.339603403	0.213568547
2000.791667	0.011795147	0.121459622	-0.134950762	0.414129509	0.390174854	0.096735634	0.11507125	0.371777271	0.196342483
2000.875	-0.005507137	0.132978935	-0.094481055	0.433843065	0.457157983	0.065874933	0.092390004	0.33160464	0.202766929
2000.958333	0.081927404	0.201848564	-0.182397064	0.345754499	0.486503982	0.093168638	0.160946512	0.258875521	0.194957236
2001.041667	0.08899487	0.214479305	-0.22352669	0.287116383	0.496858548	0.251496089	0.108165863	0.257043366	0.198804695
2001.125	0.001918614	0.234227653	-0.199001192	0.160934721	0.405623875	0.253575474	0.041238834	0.277675542	0.167753558
2001.208333	0.075083045	0.256252285	-0.265876209	0.302725811	0.32737823	0.217056679	0.073364187	0.340021181	0.178703166
2001.291667	0.024093982	0.152064065	-0.258038682	0.291757365	0.251376825	0.214613471	0.037299664	0.353442091	0.148930686
2001.375	-0.029335259	0.119391464	-0.280801828	0.228109245	0.183315738	0.130329471	0.04120239	0.337944056	0.108498648
2001.458333	-0.107755624	0.134000103	-0.232145498	0.278451844	0.141631072	0.004352913	-0.035488428	0.361353125	0.093165019
2001.541667	-0.282893029	-0.089721569	-0.274622525	0.244399909	0.076388868	-0.011937842	-0.020724871	0.407056238	0.047262601
2001.625	-0.372570182	-0.267633398	-0.442444479	0.334677118	-0.080569198	-0.084634527	-0.058023921	0.327489713	-0.038734099
2001.708333	-0.43140083	-0.303059423	-0.431247597	0.36858766	-0.123669188	-0.122779171	-0.062626358	0.354449924	-0.04576345
2001.791667	-0.462362895	-0.391835108	-0.357550747	0.371940054	-0.101893227	-0.220269994	-0.063571151	0.338421847	-0.060679761
2001.875	-0.418888326	-0.433846751	-0.409444615	0.363602604	-0.288463738	-0.272739892	0.004785748	0.309935589	-0.103738722
2001.958333	-0.500464718	-0.607320103	-0.329564949	0.365687248	-0.394038629	-0.454589483	-0.025567771	0.257180471	-0.169744745
2002.041667	-0.632755305	-0.586063578	-0.301581577	0.209824012	-0.490260786	-0.626082611	-0.006012719	0.202778036	-0.228199889
2002.125	-0.672035576	-0.556219121	-0.253950719	0.214454916	-0.668579183	-0.477791045	0.015343653	0.248707973	-0.211147647
2002.208333	-0.757101608	-0.414354938	-0.195882585	0.243198898	-0.714820501	-0.386601276	-0.027824085	0.191772089	-0.186358914
2002.291667	-0.633003879	-0.223583994	-0.240387279	0.283710891	-0.650717048	-0.349030943	0.002164442	0.117027307	-0.151545232
2002.375	-0.64617838	-0.155508609	-0.127212785	0.281464451	-0.598144371	-0.32315897	-0.018766506	0.079573268	-0.123107646
2002.458333	-0.568401426	-0.176255767	-0.21001769	0.14831831	-0.573444156	-0.281472935	0.029816459	0.054706605	-0.144049882
2002.541667	-0.582995574	-0.112530325	-0.260860665	-0.082342248	-0.625614852	-0.360589172	-0.091703042	0.041539179	-0.213157304
2002.625	-0.508238513	-0.012223789	-0.172169031	-0.239552127	-0.468504347	-0.42249872	-0.042711857	0.023734182	-0.190560813
2002.708333	-0.540160988	-0.132643306	-0.310893968	-0.303524977	-0.379224494	-0.42033827	-0.140555986	-0.071601644	-0.251254664
2002.791667	-0.482955832	-0.12260906	-0.324476528	-0.230810097	-0.442221721	-0.465914003	-0.157679125	-0.121718311	-0.266489835
2002.875	-0.508293449	-0.098042678	-0.306324014	-0.332910308	-0.39676888	-0.486695011	-0.214412863	-0.2180298	-0.293311936
2002.958333	-0.447853456	0.038994266	-0.286346422	-0.43819289	-0.433026733	-0.270931368	-0.259052092	-0.184088571	-0.261806259
2003.041667	-0.344451212	0.122002741	-0.224919855	-0.319509182	-0.384477985	-0.117572029	-0.207525278	-0.089746771	-0.17453548
2003.125	-0.184877411	0.173093465	-0.197705193	-0.282514582	-0.18803711	-0.291245222	-0.140762277	-0.125010191	-0.150311587
2003.208333	-0.136820546	0.037776216	-0.106403704	-0.409026399	-0.062194032	-0.281976312	-0.101953832	-0.145481821	-0.152751412
2003.291667	-0.221504826	-0.089703456	-0.007982861	-0.432548627	-0.198598323	-0.453145365	-0.128993453	-0.167141311	-0.211159056
2003.375	-0.205184719	-0.113711914	-0.114870817	-0.501948673	-0.275382615	-0.39563377	-0.178465282	-0.159373951	-0.24848386
2003.458333	-0.211654404	-0.186725949	-0.092736109	-0.515088174	-0.383931977	-0.368612476	-0.192134505	-0.133877669	-0.267586694
2003.541667	-0.12653077	-0.137216215	0.014327319	-0.424790326	-0.419013507	-0.329246583	-0.11144538	-0.233429188	-0.234401983
2003.625	-0.106254101	-0.1915948	0.043589544	-0.321044478	-0.38627465	-0.318247095	-0.094227542	-0.275776635	-0.220510808
2003.708333	-0.175141459	-0.220717624	0.197778495	-0.155496764	-0.443068472	-0.398304656	-0.054061461	-0.250815985	-0.189240924
2003.791667	-0.08487693	-0.207725607	0.223316323	-0.075365651	-0.313554345	-0.266433134	-0.02762978	-0.159899903	-0.118184585
2003.875	-0.123273551	-0.106220551	0.19128669	0.002155583	-0.344226491	-0.2473204	-0.010318626	-0.103844779	-0.088355511
2003.958333	-0.211469922	-0.023300934	0.275028159	0.131657813	-0.379824312	-0.240522784	-0.049352381	-0.104690449	-0.055857841
2004.041667	-0.12445373	-0.130190688	0.245020608	0.09045912	-0.437702574	-0.389485356	-0.06461125	-0.119949064	-0.115208458
2004.125	-0.164774502	-0.136384356	0.184281138	0.110086155	-0.516878284	-0.389057345	-0.079372658	-0.167202754	-0.142075443
2004.208333	-0.119162382	-0.008845742	0.08900394	0.129139992	-0.561027208	-0.495582689	-0.126305894	-0.129478622	-0.157585175
2004.291667	-0.097054545	-0.002880134	0.072201095	0.167763693	-0.55762123	-0.248728821	-0.096175874	-0.083510902	-0.106993168
2004.375	-0.059005895	-0.031770528	0.083433876	0.183512937	-0.584974119	-0.198324389	-0.03142334	-0.105384097	-0.097847094
2004.458333	0.041301453	0.0387804	0.077555952	0.360022774	-0.502593016	-0.132676873	-0.022288165	-0.102978016	-0.040596706
2004.541667	-0.008297681	0.112423729	0.01005143	0.478790135	-0.420760672	-0.130476903	0.028900104	-0.081808313	-0.000411498
2004.625	-0.113403404	0.079638731	-0.03323887	0.375214101	-0.535502941	-0.106376244	-0.012662014	-0.157577399	-0.055786377
2004.708333	-0.027915731	0.145839221	-0.151887796	0.23240832	-0.496604726	0.01394511	-0.022453773	-0.224879236	-0.071947554
2004.791667	-0.132064228	0.114071411	-0.189790239	0.180365461	-0.518705106	0.021512911	-0.032205125	-0.301097664	-0.103692622
2004.875	0.047998304	0.106267856	-0.193982621	0.225506489	-0.552238044	0.053386761	-0.043295112	-0.292375692	-0.099532909
2004.958333	0.097288266	-0.030384559	-0.327588231	0.20547168	-0.592439469	-0.134526607	-0.024497729	-0.3303086	-0.176324788
2005.041667	-0.068331818	-0.050321632	-0.356924204	0.155841594	-0.570235221	-0.089903511	-0.01304806	-0.439458076	-0.194864159
2005.125	-0.129284133	-0.151220305	-0.331449392	0.134456115	-0.445101851	-0.049632353	-0.083738389	-0.422503473	-0.192741378
2005.208333	-0.181940178	-0.285221509	-0.327736875	0.228336897	-0.359545912	-0.045100979	-0.084806313	-0.51806309	-0.198876826
2005.291667	-0.21270588	-0.327543154	-0.361759871	0.125617161	-0.231540964	-0.179528895	-0.095989409	-0.563621122	-0.233480893
2005.375	-0.263734376	-0.417529744	-0.374101649	0.095911376	-0.200567388	-0.269616675	-0.109696265	-0.633107854	-0.2726726
2005.458333	-0.280460021	-0.473828287	-0.337583596	-0.100743028	-0.159118528	-0.304722316	-0.117518904	-0.750686688	-0.320600193
2005.541667	-0.203224632	-0.368761593	-0.316457731	-0.188596853	0.078313043	-0.298535801	-0.155673823	-0.714055446	-0.280538315
2005.625	-0.089309355	-0.178963203	-0.174738985	-0.037140323	0.218824958	-0.236699117	-0.060850435	-0.550935363	-0.145786067
2005.708333	-0.088682104	-0.217602798	-0.110205974	0.084045609	0.252389888	-0.184970819	-0.029770069	-0.40077513	-0.08669847
2005.791667	0.017311554	-0.175954736	-0.051721464	0.064618849	0.250480466	-0.191439718	-0.045080394	-0.346328187	-0.070775026
2005.875	0.022890787	-0.138580736	0.01570191	0.068170081	0.352368992	-0.241765117	0.019429526	-0.300950257	-0.032232229
2005.958333	0.07971508	-0.117669748	0.05119578	0.13429999	0.51938969	-0.141660468	0.079150147	-0.32241491	0.02889864
2006.041667	0.122524522	0.027444301	0.004200771	0.188450597	0.495202321	-0.203324503	0.04860479	-0.276593075	0.040569315
2006.125	0.13259494	0.154864448	0.062093923	0.149965421	0.409536462	-0.195235258	0.066158442	-0.244829424	0.057507716
2006.208333	0.145299547	0.143672525	0.097540685	0.024018666	0.173882495	-0.121596661	0.110330963	-0.17022784	0.036802976
2006.291667	0.122922031	0.256841728	0.095313042	0.075383972	0.105018379	-0.163547989	0.024194147	-0.113051836	0.040021635
2006.375	0.185420914	0.324379518	0.186705294	0.113890874	0.182147547	-0.137531558	0.006508263	0.07633329	0.107490461
2006.458333	0.109957581	0.428084626	0.11377566	0.191199929	0.153502169	-0.122650106	-0.009274467	0.143647488	0.128326471
2006.541667	-0.062053203	0.200165484	0.14208889	0.243072202	-0.139536904	-0.13860508	-0.022738691	0.122335687	0.058111656
2006.625	-0.11582847	0.214854041	0.002654128	0.234967491	-0.183316893	-0.264232488	-0.060955724	0.0774437	0.003059179
2006.708333	-0.177590506	0.158390044	0.042841092	0.245522016	-0.21288933	-0.385117552	-0.108622492	0.015036385	-0.03497712
2006.791667	-0.219086784	0.148676541	0.049403713	0.202727285	-0.175309118	-0.334463198	-0.062696743	-0.050398478	-0.031722857
2006.875	-0.333526371	0.091384351	0.031269171	0.143584537	-0.188383282	-0.37328794	-0.11400844	-0.105555578	-0.073571026
2006.958333	-0.291461638	0.073241284	0.082758432	-0.041056238	-0.134720058	-0.336234487	-0.093634452	-0.132768208	-0.083201961
2007.041667	-0.252539429	-0.071319167	0.143705616	0.015240026	-0.04356892	-0.210125952	-0.089227431	-0.09356815	-0.049837711
2007.125	-0.244854026	-0.261829797	0.076139606	0.033267804	0.009603465	-0.249075353	-0.042615773	-0.124316036	-0.079832298
2007.208333	-0.349426168	-0.225832903	0.023936384	0.113496247	0.107518061	-0.234013064	-0.042660084	-0.110666616	-0.052603139
2007.291667	-0.314037311	-0.247007264	0.008283872	0.004915456	0.107428285	-0.146439181	0.014516278	-0.177809066	-0.06230166
2007.375	-0.421029521	-0.203841258	-0.091988501	-0.090019425	0.035993807	-0.130394957	-0.014117731	-0.336031453	-0.118628502
2007.458333	-0.507598091	-0.212548766	-0.109447434	-0.185990922	-0.03005512	-0.181771198	-0.057769863	-0.41066743	-0.169750105
2007.541667	-0.369967023	-0.157141461	-0.169416407	-0.304638035	0.026259736	-0.181326637	-0.082641385	-0.418312812	-0.183888143
2007.625	-0.382425775	-0.177315323	-0.141357863	-0.314556676	0.070833013	-0.052216981	-0.02491516	-0.373954344	-0.144783333
2007.708333	-0.241762102	-0.074273677	-0.119377726	-0.303404353	0.016103983	0.134938743	0.048201681	-0.350633073	-0.092634918
2007.791667	-0.250935137	0.013671646	-0.082895906	-0.262602599	0.039123034	0.14945078	0.073104281	-0.27583128	-0.049425721
2007.875	-0.130628864	0.067644413	-0.008011589	-0.29931338	0.079039634	0.276767501	0.117956927	-0.108334743	0.017964109
2007.958333	-0.123580845	0.203319243	0.040015478	-0.083787117	0.130604427	0.288433147	0.141736883	0.078437076	0.114108448
2008.041667	-0.060113019	0.449240105	0.136725122	-0.059904093	0.198970101	0.307303732	0.18097438	0.156747258	0.195722372
2008.125	0.093218048	0.637251582	0.190074006	-0.010059386	0.262168456	0.308589583	0.149858104	0.267816902	0.257957035
2008.208333	0.181486854	0.623871906	0.289503375	-0.033156826	0.385687022	0.245218481	0.106487756	0.290201385	0.272544728
2008.291667	0.266510004	0.561301376	0.283519827	0.044102397	0.489124601	0.181113457	0.105335263	0.372967466	0.291066341
2008.375	0.305035327	0.498393616	0.330807049	0.072346043	0.589808747	0.188887296	0.130839493	0.423500258	0.319226072
2008.458333	0.495667233	0.488767173	0.408521337	0.162628116	0.715878412	0.246169488	0.189242609	0.526317138	0.391074896
2008.541667	0.505665743	0.574343459	0.404404492	0.20102141	0.758632735	0.252351572	0.15700482	0.46130029	0.401294111
2008.625	0.580457681	0.588750453	0.395303246	0.162504709	0.668653001	0.194447228	0.084504297	0.449708844	0.363410254
2008.708333	0.569485221	0.486037018	0.335391547	0.081487049	0.631587067	0.153361811	0.038350244	0.435388549	0.308800469
