year,co2,ch4,n2o,other_wmghg,o3_trop,o3_strat,h2o_strat,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,aerosol,ch2_other_anthro,total
1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15499750077741853,-6.303572143826519e-05,0.0,0.0,0.1901657943624475
1751,0.0013809923051060558,0.000435421158147299,7.425645576215667e-05,6.583681234661681e-10,0.00015026883585103902,0.0,2.433550544630106e-07,0.0,-0.0009232662776372105,0.0003290535176471072,4.432250339043664e-06,-0.0003434766108008315,0.1550067134725471,-4.732735857334688e-05,0.00028013032788961825,-0.00028543960699462396,0.19359291138255952
1752,0.0027616196682508335,0.0008705599104304077,0.00014850372253261178,1.3167362469323362e-09,0.00030053767170207805,0.0,4.865522734759638e-07,0.0,-0.0011013251770918505,0.0004681216656662113,8.867736073352098e-06,-0.000686953221601663,0.15500981341005432,-2.1574192243786944e-05,0.0007123613283818737,-0.0005708923392770238,0.18593429324362862
1753,0.004141882300819704,0.0013054167424659097,0.0002227418056565084,1.975104370419681e-09,0.0004508065075531171,0.0,7.295919284479261e-07,0.0,-0.0009968477068635544,0.0002914398533052655,1.3290859630910527e-05,-0.0010304298324024927,0.15501084961899192,-0.021987112237170696,0.00012256428155395528,-0.0008564546471428568,0.15459090845693332
1754,0.005521780414020587,0.0017399921384764106,0.00029697071046963394,2.633472493885849e-09,0.0006010753434041561,0.0,9.72474290008876e-07,0.0,-0.0013200890809168145,-0.007527964459727666,1.77172185837325e-05,-0.001373906443203326,0.1550111980389369,-0.09089821172301911,-0.008304338215489754,-0.0011420126397461102,0.09818655405687354
1755,0.006901314218873489,0.0021742865812968276,0.00037119044229637653,3.2918406173520174e-09,0.000751344179255195,0.0,1.2151996280132183e-06,0.0,0.00014811828110938174,-0.000439368767907299,2.2139014145809618e-05,-0.0017173830540041562,0.13481527723560893,-0.13991068456676164,-7.37355966903279e-06,-0.001427624556655619,0.040022464086088644
1756,0.008280483926217117,0.002608300552379781,0.0004454010064504543,3.950208740818185e-09,0.0009016130151062342,0.0,1.4577682115427986e-06,0.0,-0.001291476916268606,0.0001383869981602162,2.792103386757992e-05,-0.0020608596648049892,-0.08833309080162642,-0.15509236831568385,-0.0004957438990003481,-0.001708366718041572,-0.2097580733191841
1757,0.009659289746702689,0.0030420345318007778,0.0005196024082366856,4.608576864284354e-09,0.0010518818509572731,0.0,1.7001803089097987e-06,0.0,-0.0016942603224455919,-0.019060382412382823,3.233370264818768e-05,-0.0024043362756058194,0.054928144635820235,-0.11676330255451611,-0.018743392167358968,-0.0019938587414046385,-0.03632953745862345
1758,0.011037731890804814,0.003475488998264298,0.000593794652947557,5.266944987771698e-09,0.0012021506868083122,0.0,1.94243618766014e-06,0.0,-0.00040890067301896827,-0.00597071017517337,3.6741808038046514e-05,-0.002747812886406652,0.12001771284879827,-0.013927699876631769,-0.005608236491205284,-0.002279810713047641,0.1292273464190307
1759,0.0124158105688121,0.003908664429108675,0.0006679777458667274,5.9253131112378655e-09,0.001352419522659351,0.0,2.184536114576209e-06,0.0,-0.0009732313217525826,-0.0097920104768568,4.1145350037168216e-05,-0.003091289497207482,0.14319411232046084,-3.7282555108705245e-05,-0.009884176206451302,-0.00256556453531715,0.18707928556943818
1760,0.013793525990828432,0.004341561300312266,0.0007421516922666352,6.583681234704035e-09,0.00150268835851039,0.0,2.4264803556803097e-06,0.0,-0.0033019525356909945,-0.02485442272632755,4.5536529859547235e-05,-0.003434766108008315,0.15103898824427686,-5.858769011682147e-05,-0.02628457142755216,-0.002851422733282551,0.19724664422606647
1761,0.015170878366778516,0.004774180086497939,0.0008163164974102684,7.2420493581702015e-09,0.0016529571943614291,0.0,2.6682691762371666e-06,0.0,-0.0018049866710326918,-0.01788362618325941,5.122120535231113e-05,-0.0037782427188091453,0.1536768826918789,-5.332485425901721e-05,-0.017992556537141047,-0.0031325081624242533,0.20519383261686713
1762,0.016547867906402763,0.005206521260939431,0.0008904721665498124,7.90041748163637e-09,0.0018032260302124684,0.0,2.909902840757481e-06,0.0,-0.0008861033659554423,-0.00742944484353811,5.487367015881723e-05,-0.0041217193296099785,-0.9989604477209145,-3.441070305431967e-05,-0.0079302178630766,-0.003421243750606663,-0.9366876150711048
1763,0.017924494819263854,0.005638585295566126,0.0009646187049273787,8.558785605123716e-09,0.001953494866063507,0.0,3.151381613000602e-06,0.0,-0.0008138391055173715,-0.007589063536072903,5.852160863968449e-05,-0.004465195940410808,-0.6102361351329035,-5.865829378868639e-06,-0.007904152808921512,-0.003709151410108369,-0.5764763700164726
1764,0.019300759314736387,0.006070372660968514,0.0010387561177750402,9.217153728589883e-09,0.0021037637019145463,0.0,3.3927057559775747e-06,0.0,-0.0006633398039546149,0.0001993213903536976,6.216502079493163e-05,-0.004808672551211641,-0.053486925396213046,-0.059878845544665764,0.0007460199610041261,-0.003997433817857999,-0.06551633177611071
1765,0.02067666160201761,0.006501883826403364,0.001112884410314865,9.875521852056051e-09,0.0022540325377655855,0.0,3.6338755319540356e-06,0.0,-0.0019967872864452524,-0.016711845992100828,6.580390662453951e-05,-0.005152149162012472,0.0916229950758718,-0.11963720153579357,-0.01735280981313397,-0.004285762771720128,0.023083204251206083
1766,0.02205220189012241,0.006933119259799766,0.0011870035877582584,1.0533889975522218e-08,0.0024043013736166244,0.0,3.8748912024535845e-06,0.0,0.0002696773946350852,-0.004161040689616148,7.213664608535223e-05,-0.005495625772813301,-0.24712809368960323,-0.14790762086249024,-0.003297183468994544,-0.004565204321739327,-0.3229615435566903
