year,co2,ch4,n2o,other_wmghg,o3,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
2020,2.23,0.56,0.21,0.40,0.48,0.05,0.05,-0.19,-0.96,0.11,-0.20,0.06,-0.02,2.74,0.04,2.78
2030,2.71,0.54,0.24,0.39,0.42,0.05,0.07,-0.18,-0.84,0.09,-0.21,0.00,-0.02,3.26,-0.02,3.24
2040,3.22,0.42,0.27,0.37,0.33,0.04,0.08,-0.17,-0.70,0.08,-0.22,0.00,-0.01,3.71,-0.01,3.70
2050,3.76,0.34,0.30,0.36,0.23,0.03,0.09,-0.16,-0.49,0.05,-0.23,0.00,0.01,4.28,0.01,4.29
2060,4.31,0.29,0.34,0.35,0.21,0.03,0.09,-0.16,-0.45,0.05,-0.24,0.00,0.01,4.81,0.01,4.82
2070,4.87,0.27,0.37,0.35,0.20,0.02,0.09,-0.16,-0.40,0.04,-0.25,0.00,0.02,5.40,0.02,5.42
2080,5.45,0.26,0.41,0.35,0.18,0.02,0.09,-0.17,-0.36,0.04,-0.26,0.00,0.02,6.02,0.02,6.03
2090,6.04,0.26,0.44,0.35,0.18,0.02,0.09,-0.17,-0.31,0.03,-0.26,0.00,0.01,6.67,0.01,6.67
2100,6.64,0.27,0.48,0.36,0.16,0.02,0.08,-0.17,-0.27,0.03,-0.27,0.00,-0.00,7.33,-0.00,7.33
2200,10.00,0.24,0.67,0.22,0.04,0.02,0.03,-0.14,-0.01,-0.00,-0.29,0.00,0.03,10.77,0.03,10.80
2300,10.11,0.21,0.70,0.08,-0.03,0.02,0.00,-0.13,0.13,-0.01,-0.29,0.00,0.00,10.79,0.00,10.79
2400,9.84,0.20,0.71,0.06,-0.04,0.02,0.00,-0.13,0.13,-0.01,-0.29,0.00,0.00,10.49,0.00,10.49
2500,9.60,0.19,0.72,0.06,-0.05,0.02,0.00,-0.13,0.13,-0.01,-0.29,0.00,0.00,10.23,0.00,10.23
