year,co2,ch4,n2o,other_wmghg,o3,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
2020,2.23,0.56,0.21,0.40,0.51,0.05,0.05,-0.19,-1.02,0.12,-0.20,0.06,-0.02,2.72,0.04,2.76
2030,2.71,0.63,0.23,0.39,0.57,0.06,0.07,-0.19,-1.04,0.12,-0.21,0.00,-0.02,3.33,-0.02,3.31
2040,3.22,0.69,0.26,0.37,0.62,0.06,0.08,-0.19,-1.06,0.13,-0.22,0.00,-0.01,3.97,-0.01,3.96
2050,3.76,0.75,0.29,0.36,0.66,0.07,0.09,-0.20,-1.06,0.13,-0.23,0.00,0.01,4.61,0.01,4.63
2060,4.31,0.80,0.33,0.35,0.69,0.07,0.09,-0.20,-1.03,0.12,-0.24,0.00,0.01,5.30,0.01,5.30
2070,4.87,0.86,0.36,0.35,0.71,0.08,0.10,-0.20,-0.99,0.12,-0.25,0.00,0.02,6.00,0.02,6.02
2080,5.45,0.91,0.39,0.35,0.73,0.08,0.10,-0.20,-0.95,0.11,-0.26,0.00,0.02,6.71,0.02,6.72
2090,6.04,0.96,0.42,0.35,0.75,0.09,0.10,-0.21,-0.92,0.11,-0.26,0.00,0.01,7.43,0.01,7.44
2100,6.64,1.00,0.45,0.36,0.77,0.09,0.11,-0.20,-0.87,0.10,-0.27,0.00,-0.00,8.18,-0.00,8.18
2200,10.00,0.77,0.64,0.22,0.38,0.07,0.04,-0.16,-0.32,0.03,-0.29,0.00,0.03,11.37,0.03,11.40
2300,10.11,0.58,0.68,0.08,0.15,0.05,0.00,-0.14,0.02,-0.01,-0.29,0.00,0.00,11.24,0.00,11.24
2400,9.84,0.57,0.69,0.06,0.14,0.05,0.00,-0.14,0.02,-0.01,-0.29,0.00,0.00,10.94,0.00,10.94
2500,9.60,0.56,0.70,0.06,0.13,0.05,0.00,-0.14,0.02,-0.01,-0.29,0.00,0.00,10.68,0.00,10.68
