scenario,2030a,2030n,2030,2050a,2050n,2050,2090a,2090n,2090
rcp26,2.85,-0.02,2.83 (1.93-3.61),3.11,0.01,3.12 (2.33-3.76),2.70,0.01,2.71 (2.04-3.22)
rcp45,3.01,-0.02,2.99 (2.12-3.84),3.90,0.01,3.91 (3.07-4.68),4.48,0.01,4.49 (3.75-5.15)
rcp60,2.84,-0.02,2.82 (1.88-3.69),3.56,0.01,3.58 (2.59-4.47),5.51,0.01,5.52 (4.50-6.38)
rcp85,3.36,-0.02,3.34 (2.40-4.23),5.01,0.01,5.03 (4.06-5.92),8.46,0.01,8.46 (7.23-9.61)
ssp119,3.22,-0.02,3.20 (2.62-3.75),3.04,0.01,3.05 (2.58-3.50),2.48,0.01,2.48 (2.12-2.83)
ssp126,3.23,-0.02,3.21 (2.57-3.84),3.56,0.01,3.58 (3.02-4.11),3.24,0.01,3.25 (2.81-3.67)
ssp245,3.25,-0.02,3.24 (2.40-4.08),4.23,0.01,4.24 (3.46-5.02),5.32,0.01,5.33 (4.56-6.05)
ssp370,3.33,-0.02,3.31 (2.30-4.31),4.61,0.01,4.63 (3.51-5.73),7.43,0.01,7.44 (6.17-8.70)
ssp370-lowNTCF-gidden,3.26,-0.02,3.24 (2.40-4.09),4.26,0.01,4.27 (3.54-4.99),6.59,0.01,6.60 (5.69-7.49)
ssp370-lowNTCF-aerchemmip,3.40,-0.02,3.38 (2.53-4.24),4.91,0.01,4.92 (4.13-5.70),7.73,0.01,7.74 (6.70-8.76)
ssp434,3.26,-0.02,3.24 (2.33-4.11),3.90,0.01,3.91 (3.06-4.68),4.18,0.01,4.19 (3.49-4.83)
ssp460,3.31,-0.02,3.30 (2.35-4.23),4.44,0.01,4.46 (3.49-5.42),6.12,0.01,6.13 (5.21-7.02)
ssp534-over,3.62,-0.02,3.60 (2.82-4.40),5.04,0.01,5.05 (4.29-5.79),3.93,0.01,3.93 (3.40-4.45)
ssp585,3.61,-0.02,3.59 (2.80-4.38),5.29,0.01,5.30 (4.44-6.17),9.18,0.01,9.19 (7.96-10.40)
