,scenario,forcing,base_period,p05,p16,p50,p84,p95
0,ssp119,co2,1750,0.8571969513751823,0.9588922901371076,1.182693586414511,1.4625222122167991,1.6979444371051113
1,ssp119,other_ghg,1750,0.36747488404312045,0.41484570578244484,0.5128315667758803,0.6520324870978731,0.7681311938668939
2,ssp119,other_anthro,1750,-0.46156430359362133,-0.3589442195001713,-0.2486367700605523,-0.17516156467454363,-0.14237047965142766
3,ssp119,anthro,1750,1.0735318051259641,1.188585254796554,1.44148890321306,1.7572746834595006,2.0261320232973308
4,ssp119,co2,1850-1900,0.7788803461936649,0.87202001938281,1.0773549297172544,1.3379865946813645,1.559341478013542
5,ssp119,other_ghg,1850-1900,0.31189840524916207,0.35167855031135536,0.43767758945987967,0.5628847049070322,0.6665140709648297
6,ssp119,other_anthro,1850-1900,-0.3396241533569061,-0.25492712257816563,-0.16404948602111347,-0.10520915562578774,-0.07445935004691556
7,ssp119,anthro,1850-1900,0.9908373295669205,1.100397104283731,1.3482383941135119,1.6634526128393692,1.914392356449243
8,ssp119,co2,1995-2014,0.2572419862247886,0.29627408249371706,0.3845691799121349,0.5195883123553535,0.6337562500853088
9,ssp119,other_ghg,1995-2014,-0.3378993066380733,-0.2826216902477305,-0.20895012566165683,-0.14016945322721502,-0.09291153663323436
10,ssp119,other_anthro,1995-2014,0.10721707396132989,0.18380750126191653,0.33271783715149716,0.5126514647654462,0.6724096773034101
11,ssp119,anthro,1995-2014,0.20960033798659047,0.31595876202997586,0.5080726434513393,0.7843036305740921,1.024895820575228
12,ssp119,co2,2010-2019,0.1441240475712061,0.17308279335188134,0.2395816574244472,0.35492752362603075,0.4449405019274546
13,ssp119,other_ghg,2010-2019,-0.4156824002356774,-0.350819659587162,-0.2685538434127541,-0.1965176484937705,-0.15502784813466877
14,ssp119,other_anthro,2010-2019,0.0852824710412,0.15796552888572704,0.30512962133818333,0.48593070928223536,0.6479473619270586
15,ssp119,anthro,2010-2019,0.01723025214883283,0.11321318212147805,0.27650414419248626,0.5231390000202062,0.7230362813932917
16,ssp119,chapter4,1995-2014,0.24225383730895733,,0.5643103232211051,,0.9575484813364052
17,ssp126,co2,1750,1.1036894572010296,1.233677176082135,1.5122939898171366,1.8509365346411137,2.1435007379423534
18,ssp126,other_ghg,1750,0.3784374707133409,0.427243213637921,0.5288874365906182,0.6734709799863688,0.7946216190220254
19,ssp126,other_anthro,1750,-0.4443533449212603,-0.3395966504503965,-0.22737622098822152,-0.15661959909229536,-0.1255122717323864
20,ssp126,anthro,1750,1.355778825739693,1.4930282525264105,1.8074179655764293,2.191980918439176,2.4983442066698323
21,ssp126,co2,1850-1900,1.0263304118220442,1.1470072676027852,1.407964424647282,1.7285108105499793,2.0049348739705715
22,ssp126,other_ghg,1850-1900,0.3231096208109299,0.3640479960863925,0.4541593628888605,0.5838553164990534,0.6932948914360851
23,ssp126,other_anthro,1850-1900,-0.3171986894361594,-0.23300223755882932,-0.1435392724350939,-0.08980775880224731,-0.06038318178834352
24,ssp126,anthro,1850-1900,1.271645924119421,1.4089362811394854,1.714151366843083,2.0972238731322435,2.396796894777137
25,ssp126,co2,1995-2014,0.5088392471976225,0.5746671920095072,0.7177579484958636,0.9083744969427959,1.0715023795830008
26,ssp126,other_ghg,1995-2014,-0.3172984556074978,-0.265742352629472,-0.19331289565957588,-0.125157248345613,-0.07721868744223946
27,ssp126,other_anthro,1995-2014,0.13053511706613521,0.20495028611728486,0.3554200610449503,0.527960776634692,0.6817317158585972
28,ssp126,anthro,1995-2014,0.5084981958298962,0.6282672649423339,0.8668758396276842,1.2029126305606368,1.4909897325897812
29,ssp126,co2,2010-2019,0.39921144259834407,0.45554914591614676,0.5712113696581311,0.7357806272463271,0.8802868745633688
30,ssp126,other_ghg,2010-2019,-0.3944280847615526,-0.331921535831024,-0.2527841658296257,-0.18183650947014943,-0.13912386276347685
31,ssp126,other_anthro,2010-2019,0.10987884004491288,0.18148073305523743,0.32396764243255916,0.5023959166474059,0.6550023731445079
32,ssp126,anthro,2010-2019,0.3194726080198048,0.43030385670477206,0.6362959393121153,0.9368434128171692,1.1949068513684251
33,ssp126,chapter4,1995-2014,0.506950733053811,,0.9043159359522661,,1.4826491059645592
34,ssp245,co2,1750,1.6241777051761155,1.8172004506680524,2.2086199047452415,2.6929147174830814,3.070978102598562
35,ssp245,other_ghg,1750,0.6114748718729264,0.6873945326491535,0.8471714576689504,1.0473186110423218,1.227246755878705
36,ssp245,other_anthro,1750,-0.5698362786239927,-0.44431942827220505,-0.2872229313969843,-0.18089911432825426,-0.1330368694304501
37,ssp245,anthro,1750,2.105800769927434,2.305402723775548,2.764788550060366,3.315399163136584,3.7300935134057953
38,ssp245,co2,1850-1900,1.5461901301057515,1.7319718950792353,2.105543234599877,2.5667700768103203,2.9310383522713086
39,ssp245,other_ghg,1850-1900,0.5563729287991612,0.626226319343253,0.7714327584557348,0.9583058589825278,1.126593850604074
40,ssp245,other_anthro,1850-1900,-0.4437398902880519,-0.32909234159698697,-0.19944565379681167,-0.11898450895677894,-0.07852556699550998
41,ssp245,anthro,1850-1900,2.0213265954519155,2.222236487061077,2.6699115908253166,3.2168499809585693,3.634038653068343
42,ssp245,co2,1995-2014,1.0371789476289264,1.162879097149623,1.4209516981468522,1.7359560830539826,2.00190218910221
43,ssp245,other_ghg,1995-2014,0.04347720766151553,0.0635166613761275,0.11111863380891229,0.19063879726740676,0.257368387156644
44,ssp245,other_anthro,1995-2014,0.11290330678098091,0.17274686596226535,0.29284082959208413,0.43752212230113424,0.5759903893983509
45,ssp245,anthro,1995-2014,1.2841499509818604,1.4561121568619801,1.8295859400861263,2.309718575791471,2.6985400213800816
46,ssp245,co2,2010-2019,0.9313335809999416,1.0442144743666926,1.2767152267837227,1.562153233503094,1.8104902742246323
47,ssp245,other_ghg,2010-2019,-0.012190453694000243,0.007681781275619404,0.051662402267727,0.11843177235318521,0.17680483055475532
48,ssp245,other_anthro,2010-2019,0.09239688567839152,0.15009745213484438,0.2647917075882904,0.41018552025147403,0.5435977536589849
49,ssp245,anthro,2010-2019,1.105849410801808,1.2618602828690264,1.5951927765670857,2.0357404864663207,2.4006128460110916
50,ssp245,chapter4,1995-2014,1.243934996453968,,1.814827243577203,,2.585020146104215
51,ssp370,co2,1750,2.171387931810574,2.4214603493630515,2.9296796476014784,3.560373464801055,4.033622111188091
52,ssp370,other_ghg,1750,0.984095259665556,1.1075324406523048,1.363921397538411,1.6810589992268272,1.9099077785277994
53,ssp370,other_anthro,1750,-1.1810706441889056,-0.894191540821705,-0.5813175949328322,-0.3573837959343299,-0.2524159547521592
54,ssp370,anthro,1750,2.861271474330897,3.135464309539878,3.705311848324778,4.371673086033866,4.843377831982197
55,ssp370,co2,1850-1900,2.095615268813593,2.3358203684151055,2.825457090261813,3.4345927569627475,3.8934602353307497
56,ssp370,other_ghg,1850-1900,0.9298430394090428,1.0464084726583738,1.2883179567624259,1.5896779002869852,1.807555701351148
57,ssp370,other_anthro,1850-1900,-1.0109821193000947,-0.7687747789780639,-0.4988740617803007,-0.30269302123837355,-0.21269999585045427
58,ssp370,anthro,1850-1900,2.7848677049301647,3.0602883205794167,3.613952023081949,4.262402200504317,4.746990637474624
59,ssp370,co2,1995-2014,1.5842898072802627,1.7679787218879883,2.1436241732491483,2.6057105029378254,2.958977777589011
60,ssp370,other_ghg,1995-2014,0.44442737914745184,0.5054519597639986,0.6334015656539789,0.7983581098041718,0.9206631517523611
61,ssp370,other_anthro,1995-2014,-0.16781239464840825,-0.08076050018905732,0.0019648787629127362,0.0647726914881113,0.09812538556627066
62,ssp370,anthro,1995-2014,2.0905250078679525,2.299074604919228,2.784198256265751,3.3538902315755106,3.7609966511687274
63,ssp370,co2,2010-2019,1.4771822536099442,1.6489644459674355,1.9998157133501397,2.4316262462324643,2.7623474021775434
64,ssp370,other_ghg,2010-2019,0.40072419216550986,0.45622663082308956,0.571735514880227,0.7205299965618621,0.8311556809520543
65,ssp370,other_anthro,2010-2019,-0.17079531883795482,-0.09621627080325396,-0.022255936633643003,0.02805552717461314,0.056309122517836374
66,ssp370,anthro,2010-2019,1.9149125750640763,2.1084784590168244,2.5571540863178406,3.075151718993433,3.4585063079689564
67,ssp370,chapter4,1995-2014,1.997464504676968,,2.7563576355060757,,3.745606165340795
68,ssp585,co2,1750,2.6600136645233285,2.963368275775585,3.568738636886563,4.336375630361008,4.922245467678099
69,ssp585,other_ghg,1750,0.9057614997297914,1.0178028061374793,1.2427167976123874,1.529344368648396,1.7431724945458098
70,ssp585,other_anthro,1750,-0.6635957754523851,-0.5200823600882651,-0.34387598545530773,-0.21760678783865517,-0.15955017832983445
71,ssp585,anthro,1750,3.413263711707111,3.743573884131579,4.474003938615058,5.34039165139767,6.013083341266077
72,ssp585,co2,1850-1900,2.5829613538557945,2.877582237258168,3.4654914489093867,4.21158392552576,4.781127668750626
73,ssp585,other_ghg,1850-1900,0.8529263274132365,0.9550137942109335,1.1682694145645867,1.4369946944184748,1.6472695798942292
74,ssp585,other_anthro,1850-1900,-0.5268723970584291,-0.40197658647453643,-0.25981043218201627,-0.16077303633053164,-0.11257594236354584
75,ssp585,anthro,1850-1900,3.323307894025755,3.660179456881438,4.378168062239168,5.238393794497262,5.910449966303746
76,ssp585,co2,1995-2014,2.0709647709312122,2.3096698138895415,2.7821960954225435,3.383367630077866,3.8452393972160275
77,ssp585,other_ghg,1995-2014,0.36459473698306866,0.4109742094821644,0.5120213021677751,0.6447985245116983,0.7656059435492677
78,ssp585,other_anthro,1995-2014,0.08534973727893291,0.13745288182462836,0.23549620068955823,0.362469217069063,0.47271333287070777
